task_id	episode_idx	outcome	media	bytes	sha256	original_source_sha256	faststart	lossless_container_remux	full_decode_passed	duration_seconds
BDRSIDE_006	4	success	assets/bowl_drainer_sections/videos/BDRSIDE_006/BDRSIDE_006_ep004_ok.mp4	179940	904f6eded62650984642a214f20152a98848d9200df538ad7191d10c0e8d7ed3	edc415fc7e2bdea457e4a91d3400790e3163aaab4e5dc3ec392f7d4b85c17e51	True	True	True	4.0
BDRSIDE_007	0	success	assets/bowl_drainer_sections/videos/BDRSIDE_007/BDRSIDE_007_ep000_ok.mp4	152095	5fd06f132b210346e76e2f30e72b3d17d3bff0a2992076c2362fb42da2ed38a4	5da9208f83911698837827f3a2c2ce819ea33a2139cb3a92a1aa1d1f98953a5c	True	True	True	4.4
BDRSIDE_007	1	success	assets/bowl_drainer_sections/videos/BDRSIDE_007/BDRSIDE_007_ep001_ok.mp4	160296	c4c3fc36923e6a73d526c9f3a57dda10a793c5ad7be8087c0ab5e7964767ffb0	a061801cb4542a253a9ff774474fd48eed05557b34fedc5a31fcb9d81413df84	True	True	True	4.6
BDRSIDE_007	2	success	assets/bowl_drainer_sections/videos/BDRSIDE_007/BDRSIDE_007_ep002_ok.mp4	151919	e4a13ee5f586c6818c77ce907eb2788118dfd8fe8f0a4b85d56430e341fa01d8	8ccbcbbe36ca09bd40b57bc4fd8f1dd0aea2c320239d4ef48fde316628e2027b	True	True	True	4.4
BDRSIDE_007	3	success	assets/bowl_drainer_sections/videos/BDRSIDE_007/BDRSIDE_007_ep003_ok.mp4	163359	32455692c970461314687251660edaa17a61bc411982241a616d0f90e5aef6ce	b4edfb8e0f510b8490b7698324f76c88afaf8dc02d19d6254db29012fb14f6a4	True	True	True	4.8
BDRSIDE_007	4	success	assets/bowl_drainer_sections/videos/BDRSIDE_007/BDRSIDE_007_ep004_ok.mp4	151245	90649c168f4ea2538a8e48ff9b51dbcc336e6a816c308a7ee24bc6f8fb7ebeaa	3dd8db52afdc011c8b1d363f690899a85573ccdfe4ad9a8db83321a233202375	True	True	True	4.4
BDRSIDE_008	0	success	assets/bowl_drainer_sections/videos/BDRSIDE_008/BDRSIDE_008_ep000_ok.mp4	169982	45eb644c1f8bc2d3ecdb3080541ccd8b4fc3d66350c60c786b72fb6d9262a20e	00ba08dd0636b9d9eb57ce31443e7025d48669e146a7c2c7de8b732c612868e4	True	True	True	5.4
BDRSIDE_008	1	success	assets/bowl_drainer_sections/videos/BDRSIDE_008/BDRSIDE_008_ep001_ok.mp4	174249	da6999ba636babc3b1e9e09906330213c004c968a5bfea3596ad133ad515aa2d	07c1fa24dbc9075cf61c8bca0c5c8f0b16a67e4c0b410a5b3e70056b3d8be3b0	True	True	True	5.2
BDRSIDE_008	2	success	assets/bowl_drainer_sections/videos/BDRSIDE_008/BDRSIDE_008_ep002_ok.mp4	154567	67313fc3b9c362b2caedb22c2f30d5e7e1922aefc8fd1a1589ea12e7d10bbb65	03fadde9af9f52b4584c6df8abd965b6d7a68df47cf6a637b5beb66501120d9f	True	True	True	4.6
BDRSIDE_008	3	success	assets/bowl_drainer_sections/videos/BDRSIDE_008/BDRSIDE_008_ep003_ok.mp4	157075	cc8da0c3d22acf6aa0d85ca7ae137f8af0b18d2b8d5c196c8746fb68237d4ca8	a0bfe6e5ef7af294f64d868a26d282963d44f2233830c7686a296bfd94221e57	True	True	True	4.6
